Country Name,Year,CO2,CO2_ton,Renewables,Electricity,Energy consumption,Country Code,PBI per capita,Poblacion,CO2_per_capita_ton,Energy_use_per_capita
Bélgica,1990,105.89019102,105890191.02,1.672236,70.923,47.796050208000004,BEL,20710.644343080563,9967379.0,10.623674590882919,4.7952475979894014e-06
República Checa,1990,151.251035334,151251035.334,2.316213,62.559000000000005,49.758269733,CZE,3917.1598401020415,10333355.0,14.637166276973934,4.815306329164148e-06
Francia,1990,365.220895049,365220895.04899997,14.101214,420.75100000000003,224.51266254700002,FRA,21793.84264798316,58235697.0,6.271426528113847,3.855241271466194e-06
Alemania,1990,955.886832282,955886832.282,3.901348,550.015,354.859095464,DEU,22219.572527148575,79433029.0,12.03387110268702,4.467399769735585e-06
Italia,1990,398.411774321,398411774.321,17.709141,216.6,151.19514302,ITA,20757.08867821313,56719240.0,7.024279139159833,2.6656764621669825e-06
Países Bajos,1990,164.461683722,164461683.722,1.119942,71.968,66.910911021,NLD,21290.860382704483,14951510.0,10.999670516355874,4.4751942125577955e-06
Polonia,1990,371.82610012600003,371826100.12600005,2.47082,136.311,103.87788921799999,POL,1731.209531123881,38110782.0,9.756454226680525,2.7256824385812916e-06
Portugal,1990,39.659889171,39659889.171000004,35.079471,28.501,17.198645745,PRT,7885.394019192242,9983218.0,3.972655828110736,1.7227557031209777e-06
Rumania,1990,163.596987496,163596987.496,17.744017,64.309,62.249761424999996,ROU,1680.705622872266,23201835.0,7.05103658809745,2.682967162942069e-06
España,1990,208.284014235,208284014.235,17.605319,151.92000000000002,90.536016358,ESP,13767.38147217115,38867322.0,5.358846545563392,2.329360802321292e-06
Suecia,1990,52.592980063000006,52592980.06300001,51.177362,146.514,46.341149924,SWE,30196.056464308724,8558835.0,6.144876033128342,5.41442263158479e-06
Reino Unido,1990,553.079202107,553079202.107,2.437316,319.737,205.598210142,GBR,19095.46699846078,57247586.0,9.66117946190779,3.591386545836186e-06
Noruega,1990,27.885583017000002,27885583.017,99.792364,121.848,21.040698086,NOR,28242.943738532995,4241473.0,6.574504427353422,4.960705416726689e-06
Turquía,1990,132.37515574600002,132375155.74600002,40.366335,57.543,52.401289750000004,TUR,2794.350390161783,53921760.0,2.4549487209987215,9.718022881671518e-07
Kazajstán,1990,236.404808029,236404808.029,8.429943,87.379,73.42245598,KAZ,1647.4632309037563,16348000.0,14.460778567959384,4.491219475165158e-06
Rusia,1990,2193.068197991,2193068197.991,15.338141,1082.152,881.628749287,RUS,3485.11230559947,148292000.0,14.788850362737033,5.945221247855582e-06
Ucrania,1990,659.317214454,659317214.454,3.588268,298.835,242.668870792,UKR,1569.73943340979,51892000.0,12.705565683612118,4.6764216216757885e-06
Uzbekistán,1990,116.396321159,116396321.159,11.802929,56.325,46.373257796,UZB,651.419206137363,20510000.0,5.675100982886397,2.261007206045831e-06
Canadá,1990,429.605717189,429605717.189,62.38738,482.152,210.903135619,CAN,21448.36196000567,27691138.0,15.514195089743152,7.616268266728511e-06
Estados Unidos,1990,4851.114432628,4851114432.628,11.963167,3218.621,1909.920241429,USA,23888.60000881329,249623000.0,19.43376384639236,7.651219003973993e-06
Argentina,1990,101.126953398,101126953.398,35.776885,51.005,46.070359693,ARG,4333.482973121461,32618651.0,3.1002800636359855,1.4123931640520633e-06
Brasil,1990,191.842159165,191842159.165,94.500518,222.821,140.610323835,BRA,3100.280468429867,149003223.0,1.287503419741464,9.436730360859376e-07
Chile,1990,30.955279613,30955279.612999998,53.837361,18.372,14.010789593,CHL,2494.525668862544,13274623.0,2.331914029724234,1.0554566855118974e-06
Colombia,1990,46.079917598,46079917.598000005,76.38419,36.357,24.223635707000003,COL,1445.328368261105,33102575.0,1.3920342329259885,7.317749663583575e-07
México,1990,262.61453486299996,262614534.86299995,24.693319,115.837,123.300504806,MEX,3112.268705984722,83943132.0,3.1284814922440582,1.468857569026612e-06
Venezuela,1990,93.571037708,93571037.708,62.343858,59.321,39.508816769999996,VEN,2475.3804725457285,19632665.0,4.766089458970548,2.0124021252336345e-06
China,1990,2261.019899729,2261019899.729,20.40794,621.268,873.705947201,CHN,317.88467304092774,1135185000.0,1.9917633687275642,7.696595243955831e-07
India,1990,522.388382758,522388382.758,24.489294,292.732,305.666936639,IND,367.5566181073706,873277798.0,0.5981926758637233,3.5002256709038657e-07
Indonesia,1990,147.806892865,147806892.865,20.917133,32.667,98.669130215,IDN,585.0765499510036,181413402.0,0.8147517836912623,5.438910748997474e-07
